Movie,Reaction
I Never Promised You a Rose Garden ,"{'neg': 0.075125, 'neu': 0.4555, 'pos': 0.469375, 'compound': 0.263275}"
Stalker ,"{'neg': 0.08536363636363636, 'neu': 0.6476363636363637, 'pos': 0.267, 'compound': 0.13882727272727272}"
Rocky ich sitze in der schule ,"{'neg': 0.0631904761904762, 'neu': 0.6232380952380951, 'pos': 0.31361904761904763, 'compound': 0.3463809523809524}"
Death Machines ,"{'neg': 0.08644444444444445, 'neu': 0.6743333333333333, 'pos': 0.23922222222222217, 'compound': 0.17663333333333334}"
Hot Potato ,"{'neg': 0.035333333333333335, 'neu': 0.8806666666666668, 'pos': 0.084, 'compound': 0.08406666666666666}"
Smokey and the Bandit ,"{'neg': 0.08878260869565216, 'neu': 0.7999565217391301, 'pos': 0.1112608695652174, 'compound': 0.042271739130434784}"
St. Ives ,"{'neg': 0.0246, 'neu': 0.5963, 'pos': 0.37910000000000005, 'compound': 0.44370000000000004}"
Eagle's Wing ,"{'neg': 0.0, 'neu': 0.7319999999999999, 'pos': 0.268, 'compound': 0.2083}"
Raid on Entebbe ,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.23653333333333335}"
Judge Horton and the Scottsboro Boys ,"{'neg': 0.039, 'neu': 0.663, 'pos': 0.298, 'compound': 0.16142}"
The Aliens Are Coming ,"{'neg': 0.10033333333333333, 'neu': 0.7427777777777778, 'pos': 0.15688888888888888, 'compound': 0.030888888888888893}"
"Farewell, My Lovely ","{'neg': 0.04053333333333333, 'neu': 0.7541666666666667, 'pos': 0.20526666666666663, 'compound': 0.2787233333333333}"
Hollywood Man ,"{'neg': 0.1170952380952381, 'neu': 0.6578095238095238, 'pos': 0.2250952380952381, 'compound': 0.13660476190476192}"
Ode to Billy Joe ,"{'neg': 0.026600000000000002, 'neu': 0.8423999999999999, 'pos': 0.131, 'compound': 0.17370000000000002}"
The Girl in the Empty Grave ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Eric ,"{'neg': 0.11766666666666666, 'neu': 0.40599999999999997, 'pos': 0.47633333333333333, 'compound': 0.40309999999999996}"
The Towering Inferno ,"{'neg': 0.121, 'neu': 0.78695, 'pos': 0.092, 'compound': 0.034189999999999984}"
